id;siren;nic;l1_normalisee;l2_normalisee;l3_normalisee;l4_normalisee;l5_normalisee;l6_normalisee;l7_normalisee;numvoie;typvoie;libvoie;codpos;libcom;apet700;libtefet;adr_mail
226100;038849246;00012;"SA D HLM DU VAL D OISE";;;"15 AVENUE DE PARIS";;"95600 EAUBONNE";FRANCE;15;AV;"DE PARIS";95600;EAUBONNE;8110Z;"0 salarié";
291573;130002512;00031;"MAISON EMPLOI FORMAT BASSIN DIJONNAIS";BOUGAINVILLE;IMMEUBLE;"17 AVENUE CHAMPOLLION";;"21000 DIJON";FRANCE;17;AV;CHAMPOLLION;21000;DIJON;8413Z;"20 à 49 salariés";
321834;191415538;00013;"COLLEGE MARCEL PAGNOL";;;"10 AVENUE GENERAL LAPERRINE";"BP 66068";"14062 CAEN CEDEX 4";FRANCE;10;AV;"GENERAL LAPERRINE";14000;CAEN;8531Z;"20 à 49 salariés";
322985;192900132;00015;"LYCEE GENERAL TECHNOLOGIQUE JULES LESV";"SCOLAIRE DE KERICHEN";CITE;"34 RUE JULES LESVEN";"BP 72507";"29225 BREST CEDEX 2";FRANCE;34;RUE;"JULES LESVEN";29200;BREST;8531Z;"100 à 199 salariés";
323150;193000593;00015;"COLLEGE JULES VERNE";;;"40 RUE DU VALLON";"BP 17035";"30910 NIMES CEDEX 2";FRANCE;40;RUE;"DU VALLON";30000;NIMES;8531Z;"20 à 49 salariés";
328493;197506751;00019;"LYCEE GENERAL ET TECHNOLOGIQUE VOLTAIR";;;"101 AVENUE DE LA REPUBLIQUE";;"75011 PARIS";FRANCE;101;AV;"DE LA REPUBLIQUE";75011;"PARIS 11";8531Z;"10 à 19 salariés";
328912;197525454;00017;"COLLEGE BUFFON";;;"16 BOULEVARD PASTEUR";"CS 61592";"75724 PARIS CEDEX 15";FRANCE;16;BD;PASTEUR;75015;"PARIS 15";8531Z;"10 à 19 salariés";
329575;197800337;00028;"COLLEGE LES AMANDIERS";;;"1 ALLEE DU COLLEGE";"BP 70075";"78421 CARRIERES SUR SEINE CEDEX";FRANCE;1;ALL;"DU COLLEGE";78420;"CARRIERES SUR SEINE";8531Z;"3 à 5 salariés";
329682;197818834;00024;"LYCEE POLYVALENT DUMONT D URVILLE";;;"2 AVENUE DE FRANCHE COMTE";;"78310 MAUREPAS";FRANCE;2;AV;"DE FRANCHE COMTE";78310;MAUREPAS;8531Z;"10 à 19 salariés";
331678;199419185;00038;"LYCEE POLYVALENT CHRISTOPHE COLOMB";;;"154 RUE DE BOISSY";;"94370 SUCY EN BRIE";FRANCE;154;RUE;"DE BOISSY";94370;SUCY-EN-BRIE;8531Z;"10 à 19 salariés";
331679;199419185;00046;"LYCEE POLYVALENT CHRISTOPHE COLOMB";"GRETA GEFORME 94";;"154 RUE DE BOISSY";;"94370 SUCY EN BRIE";FRANCE;154;RUE;"DE BOISSY";94370;SUCY-EN-BRIE;8559A;"100 à 199 salariés";
457415;217804905;00016;"COMMUNE DE PLAISIR";MAIRIE;;"2 RUE DE LA REPUBLIQUE";"BP 22";"78373 PLAISIR CEDEX";FRANCE;2;RUE;"DE LA REPUBLIQUE";78370;PLAISIR;8411Z;"500 à 999 salariés";
457416;217804905;00024;"COMMUNE DE PLAISIR";"ECOL MATE LA BOISSIERE";;"AVENUE PAUL ALBERT BARTHOLOME";;"78370 PLAISIR";FRANCE;;AV;"PAUL ALBERT BARTHOLOME";78370;PLAISIR;8510Z;"6 à 9 salariés";
457417;217804905;00032;"COMMUNE DE PLAISIR";"ECOLE PRIMAIRE PUBLIQ FRANCOIS RABELAI";;"1 RUE DU PETIT BOIS";;"78370 PLAISIR";FRANCE;1;RUE;"DU PETIT BOIS";78370;PLAISIR;8520Z;"10 à 19 salariés";
457418;217804905;00040;"COMMUNE DE PLAISIR";"ECOLE MATERNELLE PUBLIQ ANNA DE NOAILL";;"3 RUE DU PETIT BOIS";;"78370 PLAISIR";FRANCE;3;RUE;"DU PETIT BOIS";78370;PLAISIR;8510Z;"6 à 9 salariés";
457419;217804905;00057;"COMMUNE DE PLAISIR";"ECOL MATE ALPHONSE DAUDET";;"18 RUE DES EBISOIRES";;"78370 PLAISIR";FRANCE;18;RUE;"DES EBISOIRES";78370;PLAISIR;8510Z;"10 à 19 salariés";
457420;217804905;00065;"COMMUNE DE PLAISIR";"ECOL PRIM SAINT EXUPERY";;"22 RUE DE LA GARE";;"78370 PLAISIR";FRANCE;22;RUE;"DE LA GARE";78370;PLAISIR;8520Z;"10 à 19 salariés";
457421;217804905;00073;"COMMUNE DE PLAISIR";"ECOLE ELEMENTAIRE PUBLIQ MARCEL JEANTE";;"1 AVENUE DE SAINT GERMAIN";;"78370 PLAISIR";FRANCE;1;AV;"DE SAINT GERMAIN";78370;PLAISIR;8520Z;"20 à 49 salariés";
457422;217804905;00081;"COMMUNE DE PLAISIR";"ECOL MATE PETIT BONTEMPS";;"AVENUE DE GEESTHACHT";;"78370 PLAISIR";FRANCE;;AV;"DE GEESTHACHT";78370;PLAISIR;8510Z;"6 à 9 salariés";
457423;217804905;00099;"COMMUNE DE PLAISIR";"ECOL MATE JEAN DE LA FONTAINE";;"1 AVENUE DE SAINT GERMAIN";;"78370 PLAISIR";FRANCE;1;AV;"DE SAINT GERMAIN";78370;PLAISIR;8510Z;"10 à 19 salariés";
457424;217804905;00107;"EC PRIMAIRE PUBLIQ PIERRE ET MARIE CUR";"COMMUNE DE PLAISIR";;"RUE DE LA HAISE";;"78370 PLAISIR";FRANCE;;;"LA HAISE";78370;PLAISIR;8520Z;"0 salarié";
457425;217804905;00115;"ECOLE MATERNELLE PUBLIQ CHARLES PERRAU";"COMMUNE DE PLAISIR";;"RUE DE LA HAISE";;"78370 PLAISIR";FRANCE;;;"LA HAISE";78370;PLAISIR;8510Z;"6 à 9 salariés";
457426;217804905;00123;"ECOLE PRIMAIRE PUBLIQUE ALBERT CAMUS";"COMMUNE DE PLAISIR";;"RUE MARIE HILLION";;"78370 PLAISIR";FRANCE;;RUE;"MARIE HILLION";78370;PLAISIR;8520Z;"20 à 49 salariés";
457427;217804905;00131;"ECOLE PRIMAIRE CLAUDE DEBUSSY";"COMMUNE DE PLAISIR";;"RUE MARIE HILLION";;"78370 PLAISIR";FRANCE;;RUE;"MARIE HILLION";78370;PLAISIR;8520Z;"10 à 19 salariés";
457428;217804905;00149;"COMMUNE DE PLAISIR";"ECOL MATE LEON FRAPIE";;"RUE MANSART";;"78370 PLAISIR";FRANCE;;RUE;MANSART;78370;PLAISIR;8510Z;"6 à 9 salariés";
457429;217804905;00156;"COMMUNE DE PLAISIR";"ECOL PRIM JULES VALLES";;"3 RUE PABLO PICASSO";;"78370 PLAISIR";FRANCE;3;RUE;"PABLO PICASSO";78370;PLAISIR;8520Z;"10 à 19 salariés";
457430;217804905;00164;"COMMUNE DE PLAISIR";"ECOL MATE MARC LAURENT";;"1 RUE DU POITOU";;"78370 PLAISIR";FRANCE;1;RUE;"DU POITOU";78370;PLAISIR;8510Z;"6 à 9 salariés";
457431;217804905;00172;"COMMUNE DE PLAISIR";"ECOL MATE HENRI WALLON";;"RUE NICOLAS POUSSIN";;"78370 PLAISIR";FRANCE;;RUE;"NICOLAS POUSSIN";78370;PLAISIR;8510Z;"6 à 9 salariés";
457432;217804905;00180;"ECOL PRIM JEAN MOULIN";"COMMUNE DE PLAISIR";;"46 RUE JULES REGNIER";;"78370 PLAISIR";FRANCE;46;RUE;"JULES REGNIER";78370;PLAISIR;8520Z;"10 à 19 salariés";
457433;217804905;00198;"COMMUNE DE PLAISIR";"ECOLE MATERNELLE PUB DANIELE CASANOVA";;"1 RUE MAXIMILIEN DE ROBESPIERRE";;"78370 PLAISIR";FRANCE;1;RUE;"MAXIMILIEN ROBESPIERRE";78370;PLAISIR;8510Z;"10 à 19 salariés";
457434;217804905;00206;"ECOL PRIM BROSSOLETTE";"COMMUNE DE PLAISIR";;"RUE MAXIMILIEN DE ROBESPIERRE";;"78370 PLAISIR";FRANCE;;RUE;"MAXIMILIEN ROBESPIERRE";78370;PLAISIR;8520Z;"20 à 49 salariés";
457435;217804905;00214;"COMMUNE DE PLAISIR";"ECOL MATE JULES VERNE";;"98 CHEMIN DES RUELLES";;"78370 PLAISIR";FRANCE;98;CHE;"DES RUELLES";78370;PLAISIR;8510Z;"6 à 9 salariés";
457436;217804905;00222;"COMMUNE DE PLAISIR";"ECOL PRIM ALAIN FOURNIER";;"158 CHEMIN DES RUELLES";;"78370 PLAISIR";FRANCE;158;CHE;"DES RUELLES";78370;PLAISIR;8520Z;"20 à 49 salariés";
457437;217804905;00230;"ECOLE PRIMAIRE PUBLIQUE LOUIS PERGAUD";"COMMUNE DE PLAISIR";;"RUE DES SAULES";;"78370 PLAISIR";FRANCE;;RUE;"DES SAULES";78370;PLAISIR;8520Z;"10 à 19 salariés";
457438;217804905;00248;"COMMUNE DE PLAISIR";"ECOLE MATERNELLE LOUIS PERGAUD";"DU N 1 AU 5";"1 RUE DES SAULES";;"78370 PLAISIR";FRANCE;1;RUE;"DES SAULES";78370;PLAISIR;8510Z;"6 à 9 salariés";
457439;217804905;00255;"COMMUNE DE PLAISIR";"ECOL MATE LOUISE MICHEL";;"RUE DU VALIBOUT";;"78370 PLAISIR";FRANCE;;RUE;"DU VALIBOUT";78370;PLAISIR;8510Z;"10 à 19 salariés";
457440;217804905;00263;"ECOLE MATERNELLE PUB JACQUES PREVERT";"COMMUNE DE PLAISIR";;"RUE MARCEL PAGNOL";;"78370 PLAISIR";FRANCE;;RUE;"MARCEL PAGNOL";78370;PLAISIR;8510Z;"6 à 9 salariés";
457441;217804905;00271;"ECOLE ELEMENTAIRE PUB JACQUES PREVERT";"COMMUNE DE PLAISIR";;"2 RUE MARCEL PAGNOL";;"78370 PLAISIR";FRANCE;2;RUE;"MARCEL PAGNOL";78370;PLAISIR;8520Z;"20 à 49 salariés";
457442;217804905;00289;"COMMUNE DE PLAISIR";"ECOLE MATERNELLE PUBLIQ CAMILLE CLAUDE";;"RUE DE LA CROIX BLANCHE";;"78370 PLAISIR";FRANCE;;RUE;"DE LA CROIX BLANCHE";78370;PLAISIR;8510Z;"6 à 9 salariés";
457443;217804905;00297;"COMMUNE DE PLAISIR";"ECOLE MATERNELLE PUBLIQUE MOZART";;"72 BOULEVARD LEON BLUM";;"78370 PLAISIR";FRANCE;72;BD;"LEON BLUM";78370;PLAISIR;8510Z;"10 à 19 salariés";
457444;217804905;00305;"COMMUNE DE PLAISIR";"ECOLE PRIMAIRE PUBLIQUE MOZART";;"72 BOULEVARD LEON BLUM";;"78370 PLAISIR";FRANCE;72;BD;"LEON BLUM";78370;PLAISIR;8520Z;"20 à 49 salariés";
457445;217804905;00313;"COMMUNE DE PLAISIR";"ECOLE PRIMAIRE PUBLIQUE GERARD PHILIPE";;"566 RUE PIERRE MENDES FRANCE";;"78370 PLAISIR";FRANCE;566;RUE;"PIERRE MENDES FRANCE";78370;PLAISIR;8520Z;"10 à 19 salariés";
457446;217804905;00339;"COMMUNE DE PLAISIR";"REGIE AUTONOME DU CINEMA JACQUES BECKE";;"CENTRE COMMERCIAL GRAND PLAISIR";;"78370 PLAISIR";FRANCE;;;"CTRECOM GRAND PLAISIR";78370;PLAISIR;5914Z;"0 salarié";
457447;217804905;00347;"COMMUNE DE PLAISIR";"SERVICE ASSAINISSEMENT";;"2 RUE DE LA REPUBLIQUE";;"78370 PLAISIR";FRANCE;2;RUE;"DE LA REPUBLIQUE";78370;PLAISIR;3700Z;"Unités non employeuses";
457448;217804905;00354;"COMMUNE DE PLAISIR";"CENTRE DE PROTECTION INFANTILE";;"21 RUE DU VALIBOUT";;"78370 PLAISIR";FRANCE;21;RUE;"DU VALIBOUT";78370;PLAISIR;8621Z;"Unités non employeuses";
457449;217804905;00362;"COMMUNE DE PLAISIR";"CTE DE PROTECTION INF F TRISTAN";;"1 RUE DES FRANCS SABLONS";;"78370 PLAISIR";FRANCE;1;RUE;"DES FRANCS SABLONS";78370;PLAISIR;8621Z;"Unités non employeuses";
457450;217804905;00370;"CRECHE FAMILIALE";"COMMUNE DE PLAISIR";;"903 RUE KARL MARX";;"78370 PLAISIR";FRANCE;903;RUE;"KARL MARX";78370;PLAISIR;8891A;"Unités non employeuses";
457451;217804905;00388;"COMMUNE DE PLAISIR";"HALTE GARDERIE FLORA TRISTAN";;"3 RUE DES FRANCS SABLONS";;"78370 PLAISIR";FRANCE;3;RUE;"DES FRANCS SABLONS";78370;PLAISIR;8891A;"Unités non employeuses";
457452;217804905;00396;"COMMUNE DE PLAISIR";"HALTE GARDERIE DU VALIBOUT";;"3 RUE MAXIMILIEN DE ROBESPIERRE";;"78370 PLAISIR";FRANCE;3;RUE;"MAXIMILIEN ROBESPIERRE";78370;PLAISIR;8891A;"Unités non employeuses";
457453;217804905;00404;"COMMUNE DE PLAISIR";"CENTRE DE PLANIFICATION";;"1 RUE DES FRANCS SABLONS";;"78370 PLAISIR";FRANCE;1;RUE;"DES FRANCS SABLONS";78370;PLAISIR;8621Z;"Unités non employeuses";
457454;217804905;00412;"COMMUNE DE PLAISIR";"CRECHE FAMILIALE";;"19 RUE DU VIEUX MOULIN";;"78370 PLAISIR";FRANCE;19;RUE;"DU VIEUX MOULIN";78370;PLAISIR;8891A;"Unités non employeuses";
457455;217804905;00420;"COMMUNE DE PLAISIR";"THEATRE ESPACE COLUCHE";;"980 AVENUE DU GENERAL DE GAULLE";;"78370 PLAISIR";FRANCE;980;AV;"DU GENERAL DE GAULLE";78370;PLAISIR;9004Z;"Unités non employeuses";
548452;269200051;00028;"EHPAD MAISON DE RETRAITE";;;"20 RUE DES GRAVIERS";;"92200 NEUILLY SUR SEINE";FRANCE;20;RUE;"DES GRAVIERS";92200;"NEUILLY SUR SEINE";8710A;"100 à 199 salariés";
548453;269200051;00036;"EHPAD MAISON DE RETRAITE";"DOTATION NON AFFECTEE";;"20 RUE DES GRAVIERS";;"92200 NEUILLY SUR SEINE";FRANCE;20;RUE;"DES GRAVIERS";92200;"NEUILLY SUR SEINE";6619A;"0 salarié";
548454;269200051;00044;"EHPAD MAISON DE RETRAITE";"ACCUEIL DE JOUR";;"20 RUE DES GRAVIERS";;"92200 NEUILLY SUR SEINE";FRANCE;20;RUE;"DES GRAVIERS";92200;"NEUILLY SUR SEINE";8810B;"0 salarié";
567021;300462801;00014;"SOC GEST COOR ASSUR VOYAGES";;;"8 RUE AUGUSTE RENOIR";;"78400 CHATOU";FRANCE;8;RUE;"AUGUSTE RENOIR";78400;CHATOU;6622Z;"3 à 5 salariés";
571207;300917838;00025;"ASS DEP DES AMIS DES VOYAGEURS 33";;;"91 RUE DE LA REPUBLIQUE";;"33400 TALENCE";FRANCE;91;RUE;"DE LA REPUBLIQUE";33400;TALENCE;8899B;"20 à 49 salariés";
571208;300917838;00033;"ASS DEP DES AMIS DES VOYAGEURS 33";;"ZONE INDUSTRIELLE DUMES";"RUE CONDORCET";;"33210 LANGON";FRANCE;;RUE;CONDORCET;33210;LANGON;8899B;"3 à 5 salariés";
571345;300940210;00051;"LE CARREFOUR";"ASSOCIATION LE CARREFOUR";;"2 RUE DES FOUGERES";;"30900 NIMES";FRANCE;2;RUE;"DES FOUGERES";30900;NIMES;9499Z;"0 salarié";
571502;300963139;00021;"GROUP ORGANISMES MEDICAUX";"DR CASTRO";;"27 BOULEVARD D ATHENES";;"13001 MARSEILLE";FRANCE;27;BD;"D ATHENES";13001;"MARSEILLE 1";9499Z;"0 salarié";
571503;300963139;00039;"GROUP ORGANISMES MEDICAUX";;;"79 RUE DE TOCQUEVILLE";;"75017 PARIS";FRANCE;79;RUE;"DE TOCQUEVILLE";75017;"PARIS 17";9499Z;"3 à 5 salariés";
574093;301241436;00031;"ETS BELLECAVE";"ETABLISSEMENTS BELLECAVE";"ZONE DE DONZACQ";"26 CHEMIN DE SABALCE";"BP 10801";"64108 BAYONNE CEDEX";FRANCE;26;CHE;"DE SABALCE";64100;BAYONNE;4531Z;"20 à 49 salariés";
575229;301342622;00018;"MAISON DES JEUNES ET DE LA CULTURE";;;"7 RUE DE LONGVIC";;"21300 CHENOVE";FRANCE;7;RUE;"DE LONGVIC";21300;CHENOVE;9499Z;"10 à 19 salariés";
576462;301500104;00015;"FRANCIS LEFEBVRE FORMATION F L F";"FRANCIS LEFEBVRE FORMATION";;"13 RUE VIETE";;"75017 PARIS";FRANCE;13;RUE;VIETE;75017;"PARIS 17";8559B;"20 à 49 salariés";
576463;301500104;00031;"FRANCIS LEFEBVRE FORMATION";"FRANCIS LEFEBVRE FORMATION";;"17 RUE VIETE";;"75017 PARIS";FRANCE;17;RUE;VIETE;75017;"PARIS 17";8559B;"20 à 49 salariés";
576464;301500104;00049;"FRANCIS LEFEBVRE FORMATION";"FRANCIS LEFEBVRE FORMATION F L F P";;"68 COURS LA FAYETTE";;"69003 LYON";FRANCE;68;CRS;LAFAYETTE;69003;"LYON 3EME";8559B;"3 à 5 salariés";
578969;301770608;00018;"EX PRO PROG REAL BAT TP PROGEBAT INGEN";;;"2 B RUE DES JARDINS";;"25000 BESANCON";FRANCE;2;RUE;"DES JARDINS";25000;BESANCON;7490A;"1 ou 2 salariés";
582037;302103197;00034;"MONSIEUR GUY PETUAUD LETANG";;;"45 AVENUE DE LA BELLE ETOILE";;"33270 BOULIAC";FRANCE;45;AV;"DE LA BELLE ETOILE";33270;BOULIAC;7112A;"0 salarié";
583326;302229679;00022;"MONSIEUR PIERRE VAZEILLE";;;"32 RUE FRANKLIN";;"69002 LYON";FRANCE;32;RUE;FRANKLIN;69002;"LYON 2EME";8623Z;"1 ou 2 salariés";
585013;302420807;00067;"SWIFT & TISMADE S A S";"SWIFT & TISMADE SA";"25 29";"25 PLACE DE LA MADELEINE";;"75008 PARIS";FRANCE;25;PL;"DE LA MADELEINE";75008;"PARIS 8";4641Z;"6 à 9 salariés";
589493;302843677;00014;"ETS MAURICE RENOU SARL";;;"33 RUE DENIS PAPIN";;"42300 ROANNE";FRANCE;33;RUE;"DENIS PAPIN";42300;ROANNE;2562B;"10 à 19 salariés";
594593;303320832;00031;"CEGMA TOPO";"CONSEIL ETUDE GESTION MARKETING";"PARC DES MOULINS";"49 RUE ALBERT SAMAIN";"BP 10249";"59665 VILLENEUVE D ASCQ CEDEX";FRANCE;;RUE;"ALBERT SAMAIN";59650;"VILLENEUVE D'ASCQ";7320Z;"10 à 19 salariés";
594594;303320832;00072;"CEGMA TOPO";"CONSEIL ETUDE GESTION MARKETING";;"52 BOULEVARD DE SEBASTOPOL";;"75003 PARIS";FRANCE;52;BD;"DE SEBASTOPOL";75003;"PARIS 3";7022Z;"0 salarié";
610630;305062291;00045;"KALCUTA CENTRE D ACTIVITE DE L OURCQ";FELUCH;;"RUE DELIZY";;"93500 PANTIN";FRANCE;;RUE;DELIZY;93500;PANTIN;1413Z;"0 salarié";
616749;305529323;00050;"DESIGN CREATION";"MONSIEUR BERNARD CODOGNOTTO";"APPARTEMENT 2211";"12 AVENUE DU MARECHAL JUIN";;"33700 MERIGNAC";FRANCE;12;AV;"DU MARECHAL JUIN";33700;MERIGNAC;7112B;"0 salarié";
617380;305611485;00015;"LE PACHA";;"LIEU DIT GAZINET";"1 RUE DE LA POUDRIERE";;"33600 PESSAC";;1;RUE;"DE LA POUDRIERE";33600;PESSAC;5610A;"20 à 49 salariés";
623608;306244310;00067;"PEPINIERE D ENTREPRISE DE BASSO CAMBO";"ECHANGES CONSULT TECHN INTERNATIONAUX";;"42 AVENUE DU GENERAL DE CROUTTE";;"31100 TOULOUSE";FRANCE;42;AV;"DU GENERAL DE CROUTTE";31100;TOULOUSE;9499Z;"0 salarié";
623609;306244310;00075;"ECHANGES CONSULT TECHN INTERNATIONAUX";;;"60 AVENUE JEAN MERMOZ";;"69008 LYON";FRANCE;60;AV;"JEAN MERMOZ";69008;"LYON 8EME";9499Z;"0 salarié";
